Nazwa;Ticker;Kurs;Zmiana;Zmiana %;Wpływ na indeks;Udział w obrocie;Pakiet;Udział w portfelu
PTWP;PTW;133;-7;-0.05;-0.000003;0.000053;220000;0.0001
QNATECHNO;QNA;27.maj;-0.1;-0.0036;0;0.000001;1680000;0.0001
RANKPROGR;RNK;kwi.65;-0.04;-0.0085;-0.000001;0.000082;18356000;0.0001
ROPCZYCE;RPC;22.kwi;-0.2;-0.0089;-0.000001;0.000115;1630000;0.0001
SANTANDER;SAN;42.045;0.045;0.0011;0;0.000359;895000;0.0001
SILVAIR-REGS;SVRS;9;-0.75;-0.0769;-0.000009;0.000059;7256000;0.0001
SKARBIEC;SKH;31.maj;-0.7;-0.0217;-0.000003;0.000023;2668000;0.0001
SONEL;SON;15.lut;0.1;0.0066;0.000001;0.000006;4758000;0.0001
STALPROFI;STF;lip.72;0;0;0;0.000038;7716000;0.0001
ULMA;ULM;61;02.maj;0.0427;0.000006;0;1288000;0.0001
VINDEXUS;VIN;12;0;0;0;0.000075;3230000;0.0001
YANOSIK;YAN;13.mar;-0.1;-0.0075;-0.000001;0.000003;3280000;0.0001
ZAMET;ZMT;0.76;-0.01;-0.013;-0.000001;0.000039;46149000;0.0001
ZREMB;ZRE;lip.39;-0.12;-0.016;-0.000002;0.000256;9370000;0.0001
06MAGNA;06N;lut.59;0.03;0.0117;0.000001;0.000014;9988000;0
08OCTAVA;08N;0.655;0;0;0;0;0;0
3RGAMES;3RG;0.648;0.018;0.0286;0.000001;0.000018;34477000;0
ADIUVO;ADV;0.526;-0.038;-0.0674;0;0.000006;0;0
AGROTON;AGT;05.cze;0.18;0.0332;0.000001;0.000005;2710000;0
AIGAMES;ALG;0.774;-0.122;-0.1362;-0.000001;0.00004;4308000;0
AIRWAY;AWM;0.33;-0.0025;-0.0075;0;0.000021;68086000;0
ALTA;AAT;1.455;-0.02;-0.0136;0;0.000037;7870000;0
AMPLI;APL;0.86;0;0;0;0.000003;0;0
APSENERGY;APE;lut.41;0.01;0.0042;0;0.000052;6045000;0
ASMGROUP;ASM;0.332;-0.008;-0.0235;0;0.000134;0;0
ATLANTAPL;ATP;17.sty;-0.05;-0.0029;0;0.000003;1487000;0
ATLANTIS;ATS;sty.65;-0.02;-0.012;0;0.000016;4965000;0
BEST;BST;30.sie;0;0;0;0.000007;0;0
BETACOM;BCM;kwi.52;-0.08;-0.0174;0;0.000007;1469000;0
BIGCHEESE;BCS;12;-0.16;-0.0132;-0.000001;0.000074;2209000;0
BIOPLANET;BIP;24.lip;0.4;0.0165;0;0;623000;0
BOOMBIT;BBT;05.lip;-0.1;-0.0172;0;0.000023;2098000;0
BOWIM;BOW;kwi.35;-0.05;-0.0114;0;0.000241;4647000;0
BRAND24;B24;58.8;-1.8;-0.0297;0;0.000011;0;0
CAPITAL;CPA;0.77;0.09;0.1324;0;0.000006;0;0
CAPITEA;CAP;0.349;0.001;0.0029;0;0.000037;45258000;0
CASPAR;CSR;04.lut;0;0;0;0.000007;2119000;0
CCENERGY;CCE;0.304;-0.002;-0.0065;0;0;0;0
CDRL;CDL;09.kwi;0.1;0.0108;0;0;978000;0
CELTIC;CPD;lut.39;0.16;0.0717;0.000001;0.00002;2755000;0
CFI;CFI;0.15;-0.01;-0.0625;0;0.000005;0;0
CITYSERV;CTS;maj.95;0;0;0;0.000004;0;0
COMPERIA;CPL;8;-0.15;-0.0184;0;0.000001;1353000;0
COMPREMUM;CPR;0.908;-0.038;-0.0402;-0.000002;0.000136;24455000;0
CORMAY;CRM;0.36;0;0;0;0.000012;68205000;0
CPIEUROPE;CPI;64.7;0;0;0;0.000002;49000;0
CZTOREBKA;CZT;0.4;0;0;0;0;0;0
DBENERGY;DBE;sie.72;-0.02;-0.0023;0;0.000009;933000;0
DEBICA;DBC;81.5;0;0;0;0.000052;0;0
DGA;DGA;25.wrz;0;0;0;0;507000;0
DIGITREE;DTR;10;-0.6;-0.0566;-0.000001;0.000034;465000;0
DMGROUP;DMG;lut.65;0.04;0.0153;0;0.000004;0;0
DRAGOENT;DGE;20.maj;-1.5;-0.0682;-0.000001;0.000008;416000;0
ECBSA;ECB;20.mar;-0.55;-0.0264;-0.000001;0.000056;609000;0
EDINVEST;EDI;cze.96;0.08;0.0116;0;0.000035;0;0
EFEKT;EFK;05.lut;-0.3;-0.0545;0;0.000012;0;0
ELKOP;EKP;1.715;-0.025;-0.0144;0;0.000057;4489000;0
ENAP;ENP;03.lut;0.02;0.0067;0;0.000008;0;0
ENERGA;ENG;19;0.14;0.0074;0;0.000258;0;0
ENERGOINS;ENI;lut.48;-0.03;-0.012;0;0.000043;6740000;0
ERG;ERG;37;0;0;0;0.000001;341000;0
EUCO;EUC;01.mar;-0.02;-0.0152;0;0.000051;0;0
EUROHOLD;EHG;lut.94;0;0;0;0.000001;0;0
FASING;FSG;14.kwi;0.5;0.036;0.000001;0.000062;928000;0
FEERUM;FEE;12.kwi;0;0;0;0;1123000;0
FMG;FMG;53;-6;-0.1017;-0.000001;0.000026;63000;0
FON;FON;0.234;-0.002;-0.0085;0;0.000019;0;0
FOODHUB;FHB;lut.52;0.02;0.008;0;0.000001;5042000;0
GAMEOPS;GOP;10.lut;-0.08;-0.0079;0;0.00006;1219000;0
GAMFACTOR;GIF;cze.24;0;0;0;0.000035;4054000;0
GOBARTO;GOB;19;0;0;0;0.000002;0;0
HARPER;HRP;maj.36;-0.22;-0.0394;-0.000001;0.000017;2158000;0
HELIO;HEL;32.4;0;0;0;0;715000;0
HERKULES;HRS;sty.25;0;0;0;0.000004;0;0
HYDROTOR;HDR;13.65;-0.1;-0.0073;0;0.001135;1475000;0
IBSM;IBS;69;0.2;0.0029;0;0.000002;0;0
IDMSA;IDM;0.5;0;0;0;0;0;0
IFSA;IFR;0.692;0.118;0.2056;0;0.000285;0;0
IMPERIO;IMP;sty.35;0.05;0.0385;0;0.000014;3565000;0
INC;INC;01.maj;0;0;0;0.000007;11685000;0
INTERBUD;ITB;02.kwi;0.04;0.02;0;0.000006;5374000;0
INTERSPPL;IPO;0.45;-0.019;-0.0405;0;0.000054;0;0
IZOBLOK;IZB;23.sie;-0.4;-0.0165;0;0.000003;0;0
IZOLACJA;IZO;mar.98;-0.02;-0.005;0;0.000004;1520000;0
JWWINVEST;JWW;03.sty;0.01;0.0032;0;0;0;0
KCI;KCI;0.9;-0.01;-0.011;0;0.000008;25541000;0
KERNEL;KER;21.45;0.45;0.0214;0;0.00006;0;0
KGL;KGL;11.mar;0.1;0.0089;0;0;0;0
KOMPAP;KMP;23;-0.4;-0.0171;-0.000001;0.000009;757000;0
KOMPUTRON;KOM;06.cze;-0.1;-0.0149;-0.000001;0.000036;4170000;0
KPPD;KPD;19.sie;0.1;0.0051;0;0.000008;182000;0
KRAKCHEM;KCH;0.417;-0.009;-0.0211;0;0.000005;0;0
KRVITAMIN;KVT;10.lut;-0.1;-0.0097;0;0.000024;0;0
KSGAGRO;KSG;mar.96;0.06;0.0154;0.000001;0.000007;7014000;0
LARQ;LRQ;sty.78;0.07;0.0409;0.000001;0.000003;6812000;0
LENA;LEN;02.cze;0;0;0;0.000007;10019000;0
LESS;LES;0.217;-0.008;-0.0356;-0.000001;0.000007;79822000;0
LIBET;LBT;01.maj;0.04;0.0274;0.000001;0;9185000;0
LSISOFT;LSI;29.sie;0.2;0.0068;0;0.000001;703000;0
MAXCOM;MXC;kwi.54;-0.01;-0.0022;0;0.000039;778000;0
MBWS;MBW;11.kwi;0;0;0;0.000003;92000;0
MDIENERGIA;MDI;0.806;-0.024;-0.0289;0;0.000011;7246000;0
MEGARON;MEG;05.sie;0;0;0;0;0;0
MEXPOLSKA;MEX;mar.54;0.01;0.0028;0;0.000022;2142000;0
MILKILAND;MLK;sty.85;0.03;0.0165;0;0.000037;6694000;0
MIRACULUM;MIR;0.67;0;0;0;0.000004;19316000;0
MOJ;MOJ;01.lip;-0.09;-0.0503;0;0.000007;0;0
MOSTALPLC;MSP;13.wrz;-0.1;-0.0071;0;0.00003;1026000;0
MOVIEGAMES;MOV;sie.37;0.19;0.0232;0.000001;0.000087;2057000;0
MUZA;MZA;lip.98;0;0;0;0;764000;0
MWTRADE;MWT;03.sty;0;0;0;0.000001;0;0
NEXITY;NXG;sty.18;0;0;0;0.000001;2303000;0
NOVATURAS;NTU;maj.24;-0.76;-0.1267;0;0.000005;0;0
NOVAVISGR;NVG;0.906;-0.014;-0.0152;0;0.000023;13821000;0
NOVITA;NVT;96.4;-1;-0.0103;0;0.000007;0;0
NTCAPITAL;NTC;0.417;0;0;0;0.000022;0;0
ONESANO;ONO;0.79;-0.006;-0.0075;0;0.000007;32235000;0
OPTEAM;OPM;03.gru;-0.02;-0.0064;0;0.000008;1817000;0
ORCOGROUP;OPG;04.maj;0.02;0.0045;0;0.000008;0;0
ORZBIALY;OBL;34.2;0;0;0;0.000003;0;0
PATENTUS;PAT;mar.24;0;0;0;0;5959000;0
PBSFINANSE;PBF;0.615;-0.005;-0.0081;0;0;0;0
PCCEXOL;PCX;lut.19;-0.03;-0.0135;0;0.00013;0;0
PEPEES;PPS;0.905;0;0;0;0;23996000;0
PGFGROUP;PGV;0.504;-0.006;-0.0118;0;0.000002;33499000;0
PHARMENA;PHR;lut.75;0.04;0.0148;0;0.00003;3308000;0
PJPMAKRUM;PJP;14.15;0.1;0.0071;0;0.000003;1427000;0
PKPCARGO;PKP;gru.87;0.11;0.0086;0;0.002022;0;0
PLAZACNTR;PLZ;2.235;-0.045;-0.0197;0;0.000004;4428000;0
